search_func,size,hit,times
Linear,100000,HIT,0.0015984999481588602
Linear,500000,HIT,0.04479920002631843
Linear,500000,HIT,0.04221430001780391
Linear,500000,HIT,0.04373900010250509
Linear,500000,HIT,0.04398379987105727
Linear,500000,HIT,0.04337249998934567
Linear,500000,HIT,0.043863399885594845
Linear,500000,HIT,0.04335230006836355
Linear,500000,HIT,0.0427176000084728
Linear,500000,HIT,0.04310669982805848
Linear,500000,HIT,0.043168799951672554
Linear,10,MISS,3.290013410151005e-05
Linear,10,MISS,2.4499837309122086e-05
Linear,10,MISS,2.4300068616867065e-05
Linear,10,MISS,2.3700064048171043e-05
Linear,10,MISS,2.3999949917197227e-05
Linear,10,MISS,2.3700064048171043e-05
Linear,10,MISS,2.3899832740426064e-05
Linear,10,MISS,2.3600179702043533e-05
Linear,10,MISS,2.3999949917197227e-05
Linear,10,MISS,2.41999514400959e-05
Linear,50,MISS,3.8899946957826614e-05
Linear,50,MISS,2.9999995604157448e-05
Linear,50,MISS,2.9300106689333916e-05
Linear,50,MISS,2.9799994081258774e-05
Linear,50,MISS,2.9200222343206406e-05
Linear,50,MISS,2.9199989512562752e-05
Linear,50,MISS,2.969987690448761e-05
Linear,50,MISS,2.9399991035461426e-05
Linear,50,MISS,4.610000178217888e-05
Linear,50,MISS,2.9999995604157448e-05
Linear,100,MISS,3.969995304942131e-05
Linear,100,MISS,3.42000275850296e-05
Linear,100,MISS,3.4300144761800766e-05
Linear,100,MISS,3.42000275850296e-05
Linear,100,MISS,3.42000275850296e-05
Linear,100,MISS,6.0499878600239754e-05
Linear,100,MISS,0.00017779995687305927
Linear,100,MISS,3.450014628469944e-05
Linear,100,MISS,3.42000275850296e-05
Linear,100,MISS,3.42000275850296e-05
Linear,500,MISS,8.690007962286472e-05
Linear,500,MISS,7.750000804662704e-05
Linear,500,MISS,7.750000804662704e-05
Linear,500,MISS,7.71000050008297e-05
Linear,500,MISS,7.760012522339821e-05
Linear,500,MISS,7.720012217760086e-05
Linear,500,MISS,0.00010240008123219013
Linear,500,MISS,7.740012370049953e-05
Linear,500,MISS,7.850001566112041e-05
Linear,500,MISS,7.810001261532307e-05
Linear,1000,MISS,0.00014450005255639553
Linear,1000,MISS,0.0001379998866468668
Linear,1000,MISS,0.00013870000839233398
Linear,1000,MISS,0.00013539986684918404
Linear,1000,MISS,0.0001370999962091446
Linear,1000,MISS,0.0001368001103401184
Linear,1000,MISS,0.0001379000023007393
Linear,1000,MISS,0.0001385000068694353
Linear,1000,MISS,0.00013860012404620647
Linear,1000,MISS,0.00013770000077784061
Linear,5000,MISS,0.0007520001381635666
Linear,5000,MISS,0.000649699941277504
Linear,5000,MISS,0.0006739001255482435
Linear,5000,MISS,0.0007837000302970409
Linear,5000,MISS,0.0006049999501556158
Linear,5000,MISS,0.0006187001708894968
Linear,5000,MISS,0.0006162999197840691
Linear,5000,MISS,0.0006378998514264822
Linear,5000,MISS,0.0007207999005913734
Linear,5000,MISS,0.0006037000566720963
Linear,10000,MISS,0.0011901999823749065
Linear,10000,MISS,0.001560600008815527
Linear,10000,MISS,0.0012131999246776104
Linear,10000,MISS,0.001249799970537424
Linear,10000,MISS,0.0011589000932872295
Linear,10000,MISS,0.0017240999732166529
Linear,10000,MISS,0.0011980000417679548
Linear,10000,MISS,0.0011468001175671816
Linear,10000,MISS,0.0011146999895572662
Linear,10000,MISS,0.001388499978929758
Linear,50000,MISS,0.00594569998793304
Linear,50000,MISS,0.00564350001513958
Linear,50000,MISS,0.005904700141400099
Linear,50000,MISS,0.0055253999307751656
Linear,50000,MISS,0.0056628999300301075
Linear,50000,MISS,0.005670600105077028
Linear,50000,MISS,0.005601499928161502
Linear,50000,MISS,0.005629700142890215
Linear,50000,MISS,0.013247599825263023
Linear,50000,MISS,0.005890500033274293
Linear,100000,MISS,0.011915399925783277
Linear,100000,MISS,0.011755699990317225
Linear,100000,MISS,0.011480000102892518
Linear,100000,MISS,0.011335999937728047
Linear,100000,MISS,0.011319400044158101
Linear,100000,MISS,0.011494900099933147
Linear,100000,MISS,0.011228400049731135
Linear,100000,MISS,0.01116080000065267
Linear,100000,MISS,0.011384900193661451
Linear,100000,MISS,0.011304100044071674
Linear,500000,MISS,0.05783309997059405
Linear,500000,MISS,0.05742980004288256
Linear,500000,MISS,0.060138799948617816
Linear,500000,MISS,0.05804269993677735
Linear,500000,MISS,0.05888930009678006
Linear,500000,MISS,0.05675139999948442
Linear,500000,MISS,0.057822100119665265
Linear,500000,MISS,0.05769339995458722
Linear,500000,MISS,0.05757960001938045
Linear,500000,MISS,0.05825789994560182
Binary,10,HIT,3.2800016924738884e-05
Binary,10,HIT,2.5799963623285294e-05
Binary,10,HIT,2.5300076231360435e-05
Binary,10,HIT,2.519995905458927e-05
Binary,10,HIT,2.4999957531690598e-05
Binary,10,HIT,2.4999957531690598e-05
Binary,10,HIT,2.519995905458927e-05
Binary,10,HIT,2.5099841877818108e-05
Binary,10,HIT,2.4900073185563087e-05
Binary,10,HIT,2.469983883202076e-05
Binary,50,HIT,3.2800016924738884e-05
Binary,50,HIT,2.6399968191981316e-05
Binary,50,HIT,2.6799971237778664e-05
Binary,50,HIT,2.650008536875248e-05
Binary,50,HIT,2.6800204068422318e-05
Binary,50,HIT,2.6700086891651154e-05
Binary,50,HIT,2.6999972760677338e-05
Binary,50,HIT,2.6399968191981316e-05
Binary,50,HIT,4.819990135729313e-05
Binary,50,HIT,2.650008536875248e-05
Binary,100,HIT,3.360002301633358e-05
Binary,100,HIT,2.6700086891651154e-05
Binary,100,HIT,2.640020102262497e-05
Binary,100,HIT,2.5900080800056458e-05
Binary,100,HIT,2.619996666908264e-05
Binary,100,HIT,2.619996666908264e-05
Binary,100,HIT,2.659996971487999e-05
Binary,100,HIT,2.66998540610075e-05
Binary,100,HIT,2.5999965146183968e-05
Binary,100,HIT,2.5799963623285294e-05
Binary,500,HIT,3.620004281401634e-05
Binary,500,HIT,2.8899870812892914e-05
Binary,500,HIT,2.8199981898069382e-05
Binary,500,HIT,2.8399983420968056e-05
Binary,500,HIT,2.7700094506144524e-05
Binary,500,HIT,2.7799978852272034e-05
Binary,500,HIT,2.7999980375170708e-05
Binary,500,HIT,2.7799978852272034e-05
Binary,500,HIT,2.7899863198399544e-05
Binary,500,HIT,2.8099864721298218e-05
Binary,1000,HIT,3.529991954565048e-05
Binary,1000,HIT,2.859998494386673e-05
Binary,1000,HIT,2.8399983420968056e-05
Binary,1000,HIT,2.8399983420968056e-05
